SYSTEM: 2024-11-14 15:17:05,652 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:17:05,653 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:17:05,728 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:17:05,729 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:17:05,810 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:17:05,812 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:17:37,547 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:17:37,550 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:18:17,561 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:18:17,562 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:18:17,689 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:18:17,693 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:18:57,547 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:18:57,548 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:18:57,616 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:18:57,617 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:18:57,686 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:18:57,687 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:18:57,729 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:18:57,730 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:19:37,097 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:19:37,098 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:20:51,016 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:20:51,017 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:20:51,102 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:20:51,103 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:20:51,159 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:20:51,159 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:41:32,913 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:41:32,914 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:41:32,999 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:41:33,000 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:41:33,076 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:41:33,077 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:43:30,746 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:43:30,747 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:43:48,699 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:43:48,701 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:43:48,807 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:43:48,808 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:43:48,938 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:43:48,940 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:43:48,993 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:43:48,995 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:55:33,129 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:55:33,130 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:55:33,262 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:55:33,263 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 16:14:08,218 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 16:14:08,220 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 16:14:08,317 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 16:14:08,326 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 16:14:28,590 | system_logger | INFO | Saving all changes to files
SYSTEM: 2024-11-14 16:14:28,598 | system_logger | INFO | Saved changes to user1 test to files
SYSTEM: 2024-11-14 16:14:28,599 | system_logger | INFO | Saved changes to user2 Sophia jazzlover88 to files
SYSTEM: 2024-11-14 16:14:28,599 | system_logger | INFO | Saved changes to user3 Michael hiphophead99 to files
SYSTEM: 2024-11-14 16:14:28,600 | system_logger | INFO | Saved changes to user4 Emma popprincess22 to files
